Timetable Code,TT-1
Timetable Name,timetable 1
Semester,both
Allow lecture overlap,false

Topic Code,Topic Name,Attendance Mode,Campus,Semester,Availability Number,Class,Class Instance,Date of First Class,Date of Last Class,Day,Start Time,End Time,Building,Room
COMP1103,UX Fundamentals,In person,Tonsley,S1,1,Tutorial,1,03 Mar 2026,07 Apr 2026,Tuesday,14:00,15:30,Tonsley T1,G.07 Digital Fabrication Laboratory
COMP1103,UX Fundamentals,In person,Tonsley,S1,1,Tutorial,1,28 Apr 2026,09 Jun 2026,Tuesday,14:00,15:30,Tonsley T1,G.07 Digital Fabrication Laboratory
COMP1103,UX Fundamentals,In person,Tonsley,S1,1,Workshop,1,04 Mar 2026,08 Apr 2026,Wednesday,10:00,12:00,Tonsley T1,G.42 Tonsley Theatre 1
COMP1103,UX Fundamentals,In person,Tonsley,S1,1,Workshop,1,29 Apr 2026,10 Jun 2026,Wednesday,10:00,12:00,Tonsley T1,G.42 Tonsley Theatre 1
